Date,Transaction_code,Details,Ref,Cheque,Debit,Credit,Balance
2021-07-06,,"BFT:Trf of BRTA-Pervious Year VAT, CollectionDate_30-06-2021",,nan,0.0,7541.0,413206472.46
2021-07-06,,"BFT:Trf of BRTA-Current Year VAT, CollectionDate_30-06-2021",,nan,0.0,3610785.0,416817257.46
2021-07-06,,"BFT:Trf of BRTA-Advance Income Tax (Companies),Collection Date_30-06-2021",,nan,0.0,7705000.0,424522257.46
2021-07-06,,"BFT:Trf of BRTA-Advance Income Tax (Personal),Collection Date_30-06-2021",,nan,0.0,12290000.0,436812257.46
2021-07-06,,"BFT:Trf of BRTA-Supplementary Duty, CollectionDate_30-06-2021",,nan,0.0,1115620.0,437927877.46
2021-08-12,,interest on credit balance,,nan,0.0,1809626.81,439737504.27
2021-08-12,,10% TAX AT SOURCE deducted,,nan,180962.68,0.0,439556541.59
2021-12-23,,ACCOUNT MAINTENANCE FEE FROM 01/07/2021TO 31/12/2021,,nan,500.0,0.0,439556041.59
2021-12-23,,15% VAT ON A/C MAINTENANCE FEE FROM01/07/2021 TO 31/12/2021,,nan,75.0,0.0,439555966.59
2021-12-23,,SMS Service charge for the year 2021,,nan,100.0,0.0,439555866.59
2021-12-23,,VAT on SMS Service charge for the year 2021,,nan,15.0,0.0,439555851.59
2021-12-26,,EXCISE DUTY FOR CREDIT BALANCE FROM01/01/2021 TO 31/12/2021,,nan,40000.0,0.0,439515851.59
2021-12-30,,interest on credit balance,,nan,0.0,13447684.34,452963535.93
2021-12-30,,10% TAX AT SOURCE deducted.,,nan,1344768.43,0.0,451618767.5
2022-06-21,,"BFT:Fund TRF to 101-337-02 as per client instruction,Mail dated 21.06.22",,nan,165138582.0,0.0,286480185.5
2022-06-21,,"BFT:Fund TRF to 101-337-02 as per client instruction,Mail dated 21.06.22",,nan,150000000.0,0.0,136480185.5
2022-06-27,,ACCOUNT MAINTENANCE FEE FROM 01/01/2022TO 30/06/2022,,nan,500.0,0.0,136479685.5
2022-06-27,,15% VAT ON A/C MAINTENANCE FEE FROM01/01/2022 TO 30/06/2022,,nan,75.0,0.0,136479610.5
2022-06-30,,interest on credit balance,,nan,0.0,10915501.21,147395111.71
2022-06-30,,10% TAX AT SOURCE deducted.,,nan,1091550.12,0.0,146303561.59
