Date,Transaction_code,Details,Ref,Cheque,Debit,Credit,Balance
2017-07-02,,"Rem Br : 0139-NYABZR(O), Rem A/c : , Amt : 15000 -ADVANCE INCOME TAX",,nan,0.0,15000.0,9831836.74
2017-07-02,,"Rem Br : 0114-PBA(O), Rem A/c : , Amt : 73500 -CASH",,nan,0.0,73500.0,9905336.74
2017-07-02,,"Rem Br : 0114-PBA(O), Rem A/c : , Amt : 10437 -CASH",,nan,0.0,10437.0,9915773.74
2017-07-02,,"Rem Br : 0139-NYABZR(O), Rem A/c : , Amt : 2660 -VAT AT SOURCE",,nan,0.0,2660.0,9918433.74
2017-07-02,,"Rem Br : 0126-BDPBR(O), Rem A/c : , Amt : 3000 -BRTA FEES COLLECTION",,nan,0.0,3000.0,9921433.74
2017-07-02,,"Rem Br : 0108-UTTARA(O), Rem A/c : , Amt : 21000 -Received At Uttara Brance.",,nan,0.0,21000.0,9942433.74
2017-07-02,,"Rem Br : 0126-BDPBR(O), Rem A/c : , Amt : 2949 -BRTA FEES COLLECTION",,nan,0.0,2949.0,9945382.74
2017-07-02,,"Rem Br : 0108-UTTARA(O), Rem A/c : , Amt : 46000 -Received At Uttara Brance",,nan,0.0,46000.0,9991382.74
2017-07-02,,"Rem Br : 0108-UTTARA(O), Rem A/c : , Amt : 17430 -Received At Uttara Brance",,nan,0.0,17430.0,10008812.74
2017-07-02,,"Rem Br : 0133-HRB(O), Rem A/c : , Amt : 70000 -BRTA fees collection",,nan,0.0,70000.0,10078812.74
2017-07-02,,"Rem Br : 0110-MOG(O), Rem A/c : , Amt : 40000 - cash",,nan,0.0,40000.0,10118812.74
2017-07-02,,"Rem Br : 0133-HRB(O), Rem A/c : , Amt : 6208 - BRTAfees collection",,nan,0.0,6208.0,10125020.74
2017-07-02,,"Rem Br : 0140-BHULTA(O), Rem A/c : , Amt : 6231 -Vat at Source",,nan,0.0,6231.0,10131251.74
2017-07-02,,"Rem Br : 0110-MOG(O), Rem A/c : , Amt : 6000 - cash",,nan,0.0,6000.0,10137251.74
2017-07-02,,"Rem Br : 0110-MOG(O), Rem A/c : , Amt : 2994 - cash",,nan,0.0,2994.0,10140245.74
2017-07-02,,"Rem Br : 0133-HRB(O), Rem A/c : , Amt : 95500 - Brtacollection at(harirampur br)",,nan,0.0,95500.0,10235745.74
2017-07-02,,"Rem Br : 0133-HRB(O), Rem A/c : , Amt : 106000 - Brtacollection at(harirampur br)",,nan,0.0,106000.0,10341745.74
2017-07-02,,"Rem Br : 0133-HRB(O), Rem A/c : , Amt : 22662 - Brtacollection at(harirampur br)",,nan,0.0,22662.0,10364407.74
2017-07-02,,"Rem Br : 0113-GOBR(O), Rem A/c : , Amt : 14945 -AMT AGST VAT AT SOURECE.",,nan,0.0,14945.0,10379352.74
