Date,Transaction_code,Details,Ref,Cheque,Debit,Credit,Balance
2018-07-02,,"BFT:""Trf of BRTA-Current Year VAT, CollectionDate_28-06-2018""",,nan,0.0,1519591.0,3647648.82
2018-07-02,,"BFT:""Trf of BRTA-Advance Income Tax (Companies),Collection Date_28-06-2018""",,nan,0.0,2148500.0,5796148.82
2018-07-02,,"BFT:""Trf of BRTA-Advance Income Tax (Personal),Collection Date_28-06-2018""",,nan,0.0,4743750.0,10539898.82
2018-07-03,,BFT:TRF to 0101-364-03 for BRTA Tax and Vat pmt asper client inst.,,nan,10500000.0,0.0,39898.82
2018-07-03,,"BFT:""Trf of BRTA-Pervious Year VAT, CollectionDate_02-07-2018""",,nan,0.0,1194.0,41092.82
2018-07-03,,"BFT:""Trf of BRTA-Current Year VAT, CollectionDate_02-07-2018""",,nan,0.0,2064264.0,2105356.82
2018-07-03,,"BFT:""Trf of BRTA-Advance Income Tax (Companies),Collection Date_02-07-2018""",,nan,0.0,2992500.0,5097856.82
2018-07-03,,"BFT:""Trf of BRTA-Advance Income Tax (Personal),Collection Date_02-07-2018""",,nan,0.0,4983500.0,10081356.82
2018-07-03,,BFT:TRF to 0101-364-03 for BRTA Tax and Vat pmt asper client inst.,,nan,5000000.0,0.0,5081356.82
2018-07-05,,"BFT:""Trf of BRTA-Current Year VAT, CollectionDate_03-07-2018""",,nan,0.0,1540721.0,6622077.82
2018-07-05,,"BFT:""Trf of BRTA-Advance Income Tax (Companies),Collection Date_03-07-2018""",,nan,0.0,3022000.0,9644077.82
2018-07-05,,"BFT:""Trf of BRTA-Advance Income Tax (Personal),Collection Date_03-07-2018""",,nan,0.0,5862000.0,15506077.82
2018-07-08,,"BFT:""Trf of BRTA-Pervious Year VAT, CollectionDate_04-07-2018""",,nan,0.0,4680.0,15510757.82
2018-07-08,,"BFT:""Trf of BRTA-Current Year VAT, CollectionDate_04-07-2018""",,nan,0.0,1550875.0,17061632.82
2018-07-08,,"BFT:""Trf of BRTA-Advance Income Tax (Companies),Collection Date_04-07-2018""",,nan,0.0,2750000.0,19811632.82
2018-07-08,,"BFT:""Trf of BRTA-Advance Income Tax (Personal),Collection Date_04-07-2018""",,nan,0.0,4941500.0,24753132.82
2018-07-09,,"BFT:""Trf of BRTA-Current Year VAT, CollectionDate_05-07-2018""",,nan,0.0,1444093.0,26197225.82
2018-07-09,,"BFT:""Trf of BRTA-Advance Income Tax (Companies),Collection Date_05-07-2018""",,nan,0.0,2911500.0,29108725.82
2018-07-09,,"BFT:""Trf of BRTA-Advance Income Tax (Personal),Collection Date_05-07-2018""",,nan,0.0,5167750.0,34276475.82
2018-07-10,,"BFT:""Trf of BRTA-Pervious Year VAT, Collection",,nan,0.0,34.0,34276509.82
2018-07-10,,"BFT:""Trf of BRTA-Current Year VAT, CollectionDate_08-07-2018""",,nan,0.0,1570490.0,35846999.82
2018-07-10,,"BFT:""Trf of BRTA-Advance Income Tax (Companies),Collection Date_08-07-2018""",,nan,0.0,2697000.0,38543999.82
