Date,Transaction_code,Details,Ref,Cheque,Debit,Credit,Balance
2020-07-02,,"BFT:Trf of BRTA-Pervious Year VAT, CollectionDate_30-06-2020",,nan,0.0,1859.0,12498160.2
2020-07-02,,"BFT:Trf of BRTA-Current Year VAT, CollectionDate_30-06-2020",,nan,0.0,6796529.0,19294689.2
2020-07-02,,"BFT:Trf of BRTA-Advance Income Tax (Companies),Collection Date_30-06-2020",,nan,0.0,14353000.0,33647689.2
2020-07-02,,"BFT:Trf of BRTA-Advance Income Tax (Personal),Collection Date_30-06-2020",,nan,0.0,30573570.0,64221259.2
2020-07-02,,"BFT:Trf of BRTA-Supplementary Duty, CollectionDate_30-06-2020",,nan,0.0,2515844.0,66737103.2
2020-07-02,,"BFT:MIRPUR BRTA BOOTH ( MIRPUR BRTA,MIRPUR-13, DHAKA. ) ,Brta collection  Dated :02/07/2020",,nan,0.0,1001.0,66738104.2
2020-07-05,,"BFT:MIRPUR BRTA BOOTH ( MIRPUR BRTA,MIRPUR-13, DHAKA. ) ,Brta collection  Dated :05/07/2020",,nan,0.0,230.0,66738334.2
2020-07-06,,"BFT:Trf of BRTA-Pervious Year VAT, CollectionDate_02-07-2020",,nan,0.0,106.0,66738440.2
2020-07-06,,"BFT:Trf of BRTA-Current Year VAT, CollectionDate_02-07-2020",,nan,0.0,4585824.0,71324264.2
2020-07-06,,"BFT:Trf of BRTA-Advance Income Tax (Companies),Collection Date_02-07-2020",,nan,0.0,12275000.0,83599264.2
2020-07-06,,"BFT:Trf of BRTA-Advance Income Tax (Personal),Collection Date_02-07-2020",,nan,0.0,18165000.0,101764264.2
2020-07-06,,"BFT:Trf of BRTA-Supplementary Duty, CollectionDate_02-07-2020",,nan,0.0,2290328.0,104054592.2
2020-07-07,,"BFT:Trf of BRTA-Pervious Year VAT, CollectionDate_05-07-2020",,nan,0.0,284.0,104054876.2
2020-07-07,,"BFT:Trf of BRTA-Current Year VAT, CollectionDate_05-07-2020",,nan,0.0,4912029.0,108966905.2
2020-07-07,,"BFT:Trf of BRTA-Advance Income Tax (Companies),Collection Date_05-07-2020",,nan,0.0,12476750.0,121443655.2
2020-07-07,,"BFT:Trf of BRTA-Advance Income Tax (Personal),Collection Date_05-07-2020",,nan,0.0,20779000.0,142222655.2
2020-07-07,,"BFT:Trf of BRTA-Supplementary Duty, CollectionDate_05-07-2020",,nan,0.0,2117918.0,144340573.2
2020-07-07,,"BFT:MIRPUR BRTA BOOTH ( MIRPUR BRTA,",,nan,0.0,1173.0,144341746.2
2020-07-07,,"BFT:MIRPUR BRTA BOOTH ( MIRPUR BRTA,MIRPUR-13, DHAKA. ) ,Brta collection  Dated :07/07/2020",,nan,0.0,529.0,144342275.2
2020-07-08,,"BFT:Trf of BRTA-Pervious Year VAT, CollectionDate_06-07-2020",,nan,0.0,436.0,144342711.2
2020-07-08,,"BFT:Trf of BRTA-Current Year VAT, CollectionDate_06-07-2020",,nan,0.0,4966659.0,149309370.2
2020-07-08,,"BFT:Trf of BRTA-Advance Income Tax (Companies),Collection Date_06-07-2020",,nan,0.0,14932500.0,164241870.2
2020-07-08,,"BFT:Trf of BRTA-Advance Income Tax (Personal),Collection Date_06-07-2020",,nan,0.0,24217500.0,188459370.2
2020-07-08,,"BFT:Trf of BRTA-Supplementary Duty, CollectionDate_06-07-2020",,nan,0.0,2382218.0,190841588.2
2020-07-08,,"BFT:MIRPUR BRTA BOOTH ( MIRPUR BRTA,MIRPUR-13, DHAKA. ) ,Brta collection  Dated :08/07/2020",,nan,0.0,529.0,190842117.2
2020-07-09,,"BFT:Trf of BRTA-Current Year VAT, CollectionDate_07-07-2020",,nan,0.0,3927349.0,194769466.2
2020-07-09,,"BFT:Trf of BRTA-Advance Income Tax (Companies),Collection Date_07-07-2020",,nan,0.0,11336000.0,206105466.2
2020-07-09,,"BFT:Trf of BRTA-Advance Income Tax (Personal),Collection Date_07-07-2020",,nan,0.0,22234000.0,228339466.2
